"REF","LIS_TEST_LABEL","INSTRUMENT_TEST_CODE","DESCRIP","M_REF","DAY_PRIORITY","NIGHT_PRIORITY","HOLIDAY_PRIORITY","CALCULATED","ON_HOLD","GRP_REF","REF_1","LK_USER_REF","CODE","NAME","CONNECTED","DRIVER_CLASS_NAME","PROPERTIES_FILE_PATH","MODE_O","WAIT_FOR_RESULT_CONFIRMATION","ON_HOLD_1","DLY_DB_SAMPLES_2SEND","DLY_SAMPLE_DISP_REFRESH","DLY_FOR_RESERVE_RETRY","DLY_FOR_RETRY_LATER","DLY_FOR_TIME_OUT","COM_PORT","COM_BAUDE_RATE","COM_PARITY","COM_DATA_BITS","COM_STOP_BIT","IS_EMUL","RELATED_INSTR","PORT","M_REF_1"
229,"600","HbA2","HbA2",18,1,1,1,0,0,0,18,0,"JUNIOR24","JUNIOR24",0,"b01.l3.drivers.helena.junior24.Junior24Driver","",1,0,1,10000,10000,2000,2000,30000,"COM19",1200,0,8,2,0,"",8819,1
230,"601","HbF","HbF",18,1,1,1,0,0,0,18,0,"JUNIOR24","JUNIOR24",0,"b01.l3.drivers.helena.junior24.Junior24Driver","",1,0,1,10000,10000,2000,2000,30000,"COM19",1200,0,8,2,0,"",8819,1
231,"605","ALPHA 2","ALPHA 2",18,1,1,1,0,0,0,18,0,"JUNIOR24","JUNIOR24",0,"b01.l3.drivers.helena.junior24.Junior24Driver","",1,0,1,10000,10000,2000,2000,30000,"COM19",1200,0,8,2,0,"",8819,1
232,"604","ALPHA 1","ALPHA 1",18,1,1,1,0,0,0,18,0,"JUNIOR24","JUNIOR24",0,"b01.l3.drivers.helena.junior24.Junior24Driver","",1,0,1,10000,10000,2000,2000,30000,"COM19",1200,0,8,2,0,"",8819,1
233,"602","HbA","HbA",18,1,1,1,0,0,0,18,0,"JUNIOR24","JUNIOR24",0,"b01.l3.drivers.helena.junior24.Junior24Driver","",1,0,1,10000,10000,2000,2000,30000,"COM19",1200,0,8,2,0,"",8819,1
234,"603","ALBUMINE","ALBUMINE",18,1,1,1,0,0,0,18,0,"JUNIOR24","JUNIOR24",0,"b01.l3.drivers.helena.junior24.Junior24Driver","",1,0,1,10000,10000,2000,2000,30000,"COM19",1200,0,8,2,0,"",8819,1
235,"606","BETA","BETA",18,1,1,1,0,0,0,18,0,"JUNIOR24","JUNIOR24",0,"b01.l3.drivers.helena.junior24.Junior24Driver","",1,0,1,10000,10000,2000,2000,30000,"COM19",1200,0,8,2,0,"",8819,1
236,"607","GAMMA","GAMMA",18,1,1,1,0,0,0,18,0,"JUNIOR24","JUNIOR24",0,"b01.l3.drivers.helena.junior24.Junior24Driver","",1,0,1,10000,10000,2000,2000,30000,"COM19",1200,0,8,2,0,"",8819,1
237,"614","GAMMA(g/l)","GAMMA(g/l)",18,1,1,1,0,0,0,18,0,"JUNIOR24","JUNIOR24",0,"b01.l3.drivers.helena.junior24.Junior24Driver","",1,0,1,10000,10000,2000,2000,30000,"COM19",1200,0,8,2,0,"",8819,1
238,"613","BETA(g/l)","BETA(g/l)",18,1,1,1,0,0,0,18,0,"JUNIOR24","JUNIOR24",0,"b01.l3.drivers.helena.junior24.Junior24Driver","",1,0,1,10000,10000,2000,2000,30000,"COM19",1200,0,8,2,0,"",8819,1
